期別,開獎日,銷售金額,獎金總額,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號,頭獎注數,頭獎獎金,頭獎累至次期獎金,貳獎注數,參獎注數,肆獎注數,伍獎注數,陸獎注數,柒獎注數,普獎注數,貳獎獎金,參獎獎金,肆獎獎金,伍獎獎金,陸獎獎金,柒獎獎金,普獎獎金,貳獎累至次期獎金,參獎累至次期獎金,肆獎累至次期獎金
103000070,103/08/19,"94,965,250","125,888,029",12,19,6,7,14,9,17,0,0,"89,201,766",2,71,149,"2,735","3,112",0,"39,787","3,351,056","42,089","11,142","2,306","1,000",0,400,0,0,0
103000069,103/08/15,"102,149,550","102,192,614",47,46,29,23,18,48,5,0,0,"69,943,396",0,40,96,"1,771","2,456",0,"31,156",0,"92,843","21,491","4,426","1,000",0,400,"3,713,746",0,0
103000068,103/08/12,"93,928,700","80,469,060",12,10,6,4,34,45,44,0,0,"46,010,362",1,36,72,"1,840","2,112",0,"33,045","7,139,538","90,826","25,229","3,751","1,000",0,400,0,0,0
103000067,103/08/08,"102,084,050","56,146,227",32,42,26,45,38,31,37,0,0,"24,938,507",0,24,71,"1,489","1,984",0,"27,912",0,"161,240","30,279","5,486","1,000",0,400,"3,869,768",0,0
103000066,103/08/05,"97,575,400","135,045,671",40,11,26,33,4,42,34,1,"100,000,000",0,1,34,90,"1,943","2,107",0,"33,663","6,902,361","100,837","21,163","3,725","1,000",0,400,0,0,0
103000065,103/08/01,"98,483,700","54,166,035",45,8,21,32,5,23,18,0,0,"22,387,208",0,44,95,"2,010","2,447",0,"32,801",0,"78,951","20,315","3,648","1,000",0,400,"3,473,877",0,0
103000082,103/09/30,"101,577,500","121,534,477",49,41,18,47,36,35,15,0,0,"87,780,151",0,26,73,"1,769","2,098","21,860","30,860",0,"75,419","17,907","2,032","1,000",400,400,"3,705,184",0,0
103000081,103/09/26,"104,791,750","100,335,860",15,19,29,22,37,8,39,0,0,"63,922,565",0,52,103,"2,476","2,582","25,524","39,431",0,"33,543","11,289","1,291","1,000",400,400,"1,744,287",0,0
103000080,103/09/23,"91,180,400","72,287,099",38,28,20,32,2,11,16,0,0,"42,700,398",2,35,77,"1,686","2,153",0,"31,359","1,595,367","91,163","23,021","3,995","1,000",0,400,0,0,0
103000079,103/09/19,"96,584,650","53,121,557",6,17,29,2,32,39,4,0,0,"22,137,879",1,28,96,"1,632","2,340",0,"31,532","3,435,188","122,685","19,879","4,443","1,000",0,400,0,0,0
103000078,103/09/16,"97,445,650","140,736,148",41,19,7,18,16,12,45,1,"100,000,000",0,1,35,74,"1,826","2,211",0,"33,893","12,485,068","97,269","25,558","3,935","1,000",0,400,0,0,0
103000077,103/09/12,"104,362,500","62,694,265",27,49,2,36,31,23,15,0,0,"24,397,105",0,36,95,"1,688","2,647",0,"31,721",0,"105,159","22,138","4,734","1,000",0,400,"9,080,647",0,0
103000076,103/09/09,"143,518,750","278,955,351",42,49,21,41,29,23,14,1,"234,142,663",0,0,31,94,"2,155","3,314",0,"41,973",0,"170,802","31,293","5,187","1,000",0,400,"5,294,890",0,0
103000075,103/09/05,"145,572,900","253,221,680",16,25,32,10,36,27,45,0,0,"200,020,039",1,51,112,"2,596","3,234",0,"46,891","12,046,591","102,484","25,926","4,250","1,000",0,400,0,0,0
